resource_key,pipeline_status,recommended_pool,review_reason_codes,render_status,render_image_path,tagger_status,tagger_policy_tag_scores_json,review_queue_kind
bangdream_upstream_331_event_166_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_332_event_166_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_333_event_172_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_334_event_190_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_335_event_203_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_336_event_203_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_342_event_236_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_343_event_286_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_344_casual-2023,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_345_casual-2023,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_346_event_312_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_347_event_312_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_348_event_312_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_349_event_312_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_350_event_312_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_351_event_313_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_352_event_313_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_353_event_313_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_354_event_313_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_355_event_313_story_01,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_501_story_1,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_502_story_1,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_601_live_default,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_601_live_r_2023,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_bili_001_collabo_r,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_bili_016_collabo_ssr,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_bili_021_collabo_ur,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_bili_026_collabo_ur,out_of_scope,pending,,,,,,pipeline_pending
bangdream_upstream_l2dres00001_,out_of_scope,pending,,,,,,pipeline_pending
