cluster_id,left_key,right_key,method,similarity,threshold,left_sha256,right_sha256
dedup-0010,bangdream_002_event_140_story_01,bangdream_002_school_winter,embedding_cosine,0.9997825622558594,0.992,fac70e0c8eda0ecd09c098cb7fb271c6ab35c2bcdd5175b0dd447307a9010445,41821df725cafaf62bd19ad9fbbb429ee8227eb50f347c633d90518cb5fdd68c
dedup-0010,bangdream_002_event_140_story_01,bangdream_002_school_winter-2023,embedding_cosine,0.995128870010376,0.992,fac70e0c8eda0ecd09c098cb7fb271c6ab35c2bcdd5175b0dd447307a9010445,f115d38b8a20f077872e7ab0d81db69e1f496a922ef2f77956dbc42b055d747f
dedup-0011,bangdream_002_event_160_story_01,bangdream_002_event_50_story_01,embedding_cosine,0.9999903440475464,0.992,b66851e1cf8bf8967efbeb3a19a642eb02e82d787b6083e9b1830bb83316422c,f5a8c46fd706b37c36530d3d8354d8d971ae059ecc38cd5678d0ba664b216fde
dedup-0011,bangdream_002_event_160_story_01,bangdream_002_swimsuit-2023,embedding_cosine,0.9951752424240112,0.992,b66851e1cf8bf8967efbeb3a19a642eb02e82d787b6083e9b1830bb83316422c,b28e4a30daceb0e53624e64e67d48e8ee4a7d96eac852dd62433279d32f48e7e
dedup-0010,bangdream_002_event_216_story_01,bangdream_002_event_99_story_02,embedding_cosine,0.9990358352661133,0.992,0d6ea48bae4dca4bc03d30392215dc47c7b7b72226f6e0031db558285143ed52,7075095bc511a32a657038675336995d89d64a7b57f5e6af0bb101a7f82f10f3
dedup-0010,bangdream_002_event_216_story_01,bangdream_002_school_winter,embedding_cosine,0.9995371103286743,0.992,0d6ea48bae4dca4bc03d30392215dc47c7b7b72226f6e0031db558285143ed52,41821df725cafaf62bd19ad9fbbb429ee8227eb50f347c633d90518cb5fdd68c
dedup-0010,bangdream_002_event_216_story_01,bangdream_002_school_winter-2023,embedding_cosine,0.9945077896118164,0.992,0d6ea48bae4dca4bc03d30392215dc47c7b7b72226f6e0031db558285143ed52,f115d38b8a20f077872e7ab0d81db69e1f496a922ef2f77956dbc42b055d747f
dedup-0011,bangdream_002_event_50_story_01,bangdream_002_swimsuit-2023,embedding_cosine,0.9951415061950684,0.992,f5a8c46fd706b37c36530d3d8354d8d971ae059ecc38cd5678d0ba664b216fde,b28e4a30daceb0e53624e64e67d48e8ee4a7d96eac852dd62433279d32f48e7e
dedup-0010,bangdream_002_event_99_story_02,bangdream_002_school_winter,embedding_cosine,0.9995049238204956,0.992,7075095bc511a32a657038675336995d89d64a7b57f5e6af0bb101a7f82f10f3,41821df725cafaf62bd19ad9fbbb429ee8227eb50f347c633d90518cb5fdd68c
dedup-0010,bangdream_002_event_99_story_02,bangdream_002_school_winter-2023,embedding_cosine,0.9958044290542603,0.992,7075095bc511a32a657038675336995d89d64a7b57f5e6af0bb101a7f82f10f3,f115d38b8a20f077872e7ab0d81db69e1f496a922ef2f77956dbc42b055d747f
dedup-0012,bangdream_002_school_summer,bangdream_002_school_summer-2023,embedding_cosine,0.9960876107215881,0.992,53c18ffa81d2f6b3b0d485478ab4826384cca16307bdb2a44711ccb003a1336c,1ea1b1ec30804b063d8139f63713091de705a6c5420344ca36fbb736a30e0e30
dedup-0010,bangdream_002_school_winter,bangdream_002_school_winter-2023,embedding_cosine,0.9954872131347656,0.992,41821df725cafaf62bd19ad9fbbb429ee8227eb50f347c633d90518cb5fdd68c,f115d38b8a20f077872e7ab0d81db69e1f496a922ef2f77956dbc42b055d747f
dedup-0013,bangdream_003_2019_furisode,bangdream_003_2024_furisode,embedding_cosine,0.9924783706665039,0.992,d28ac231b6fdb188357bc6c06bd84b8786b02844a7bf514f94972440943e5b66,7450c924cdf4aaf6b97e230d5633a954508da80117fe3119c2f5f2c9fef57992
dedup-0014,bangdream_003_chapter0_pajamas,bangdream_003_event_233_story_01,embedding_cosine,0.994564414024353,0.992,47077e5220a8080a8758f09ee8be8cc8c3d2108d214b194aa0c89547d03b374d,763a4c5dd5f0bf0a3b1d5969590cc038779a26f06b02b27f284f1df0fe459510
dedup-0015,bangdream_003_event_140_story_01,bangdream_003_event_216_story_01,embedding_cosine,0.9989134073257446,0.992,3baecd6b8ca0ecfa78d63344e1986bf108cad27288f2e3a9cc461ecde5e7374e,224d7d9c23f7cdfb0842c65a6a7b2ffac49cd56bc6c01ea5d8239d4197add114
dedup-0015,bangdream_003_event_140_story_01,bangdream_003_school_winter,embedding_cosine,0.9997422695159912,0.992,3baecd6b8ca0ecfa78d63344e1986bf108cad27288f2e3a9cc461ecde5e7374e,9d88f81ca5190e6a0f5f67dc0e2fe54c7345498516c823ba9f8605364d672056
dedup-0015,bangdream_003_event_140_story_01,bangdream_003_school_winter-2023,embedding_cosine,0.992347240447998,0.992,3baecd6b8ca0ecfa78d63344e1986bf108cad27288f2e3a9cc461ecde5e7374e,73f517a0db219595d778202a988378c420746227e559e7dda4dc1d95738339cf
dedup-0015,bangdream_003_event_216_story_01,bangdream_003_school_winter,embedding_cosine,0.9988319277763367,0.992,224d7d9c23f7cdfb0842c65a6a7b2ffac49cd56bc6c01ea5d8239d4197add114,9d88f81ca5190e6a0f5f67dc0e2fe54c7345498516c823ba9f8605364d672056
dedup-0015,bangdream_003_event_216_story_01,bangdream_003_school_winter-2023,embedding_cosine,0.9930749535560608,0.992,224d7d9c23f7cdfb0842c65a6a7b2ffac49cd56bc6c01ea5d8239d4197add114,73f517a0db219595d778202a988378c420746227e559e7dda4dc1d95738339cf
dedup-0016,bangdream_003_event_227_story_02,bangdream_003_live_event_227_ssr,embedding_cosine,0.9996699094772339,0.992,fa202f509c02398f24cd0a378c9749a0bc7da83671e8c9477f0249ec4433ce82,66471b3cbe1d8c7c5699cf9e06e13f258b35f150a30dec507e4e411f4241dbd6
dedup-0017,bangdream_003_school_summer,bangdream_003_school_summer-2023,embedding_cosine,0.9948959350585938,0.992,dc607e993cd17114ff5ba576aac75e81aa5533ab9b361a1e7f9f21613990977b,6aa326b0ae25003d365f378f10bca3b606ac5dade125a9df44f4ff1cfd76f918
dedup-0015,bangdream_003_school_winter,bangdream_003_school_winter-2023,embedding_cosine,0.9929085373878479,0.992,9d88f81ca5190e6a0f5f67dc0e2fe54c7345498516c823ba9f8605364d672056,73f517a0db219595d778202a988378c420746227e559e7dda4dc1d95738339cf
dedup-0018,bangdream_004_2019_furisode,bangdream_004_2025_furisode,embedding_cosine,0.993851900100708,0.992,6b640e569d9554f39131b73e5ec64603e65083b5ab61ba0d9853abf408029c0e,96e78e2aedfbbeedcf913260a569fcf59ecfea44481f48a49213af14be7790f0
dedup-0019,bangdream_004_chapter0_pajamas,bangdream_004_pajamas-2023,embedding_cosine,0.9943748712539673,0.992,fd6b39a6432ce00c25fc50d1add7c16fad727996efd0a1eca400b369749b59d5,c2d5bc4fa126c0937921ec35e3f7b4ed8cc3a56efa193711bcdbed6733f0effc
dedup-0020,bangdream_004_event_216_story_01,bangdream_004_school_winter,embedding_cosine,0.9997259378433228,0.992,82a5b8d86548f7da60544407166446a9c6b27c88d3a7f0e6328bbf66a82a5c59,ec9857a1a596efc2c9d21fb45a1fc84572ec843872c32a8855cad4516678ce24
dedup-0020,bangdream_004_event_216_story_01,bangdream_004_school_winter-2023,embedding_cosine,0.992975115776062,0.992,82a5b8d86548f7da60544407166446a9c6b27c88d3a7f0e6328bbf66a82a5c59,1eb3fade68f1aa1810b1553a9fb2edfa93bb3345f3b0df9c1ccd9246602d410e
dedup-0021,bangdream_004_event_236_story_01,bangdream_004_live_event_236_r,embedding_cosine,0.9990297555923462,0.992,6c80a438da6d8023ad339ce8bbda28f0409fe8adfd6ca6001c8afc3be07a36df,ca207b3ebde7f8ffe1f5b35dc37406ba80e7bd83064ca6e201963905476f1661
