resource_key,model_key,character_code,character_name,variant,resource_type,runtime,manifest_path,render_status,complete_person_decision,complete_person_reason,canvas_width,canvas_height,model_width,model_height,nonblank_pixels,nonblank_ratio,bounds_min_x,bounds_min_y,bounds_max_x,bounds_max_y,bounds_width,bounds_height,slot_x,slot_y,slot_width,slot_height,bounds_inside_ratio,fill_width_ratio,fill_height_ratio,left_overflow,right_overflow,top_overflow,bottom_overflow,issue_level,texture_count,texture_pixels,render_canvas_sha256,screenshot_path,error_stage,error_message,audited_at,duration_ms
bangdream_004_casual_summer,004_casual_summer,004,山吹沙绫,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/004_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,58462,0.255516,0,51,439,436,440,386,52,34,344,430,0.779793,1.27907,0.897674,52,43,0,0,good,1,1048576,340e5696bc7bc75dddfc5721d2ed2e273a2a105fabf7828c3e0835a4de025360,.cache/deskpet-audit/render-screenshots/bangdream_004_casual_summer.png,,,2026-06-14T19:19:06.257Z,1084
bangdream_004_casual_winter,004_casual_winter,004,山吹沙绫,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/004_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,58817,0.257067,0,51,439,436,440,386,52,34,344,430,0.779793,1.27907,0.897674,52,43,0,0,good,1,1048576,d2d43669718032cd21e2264673fff74d82234dbc288be0f249a8800dcca2f1c4,.cache/deskpet-audit/render-screenshots/bangdream_004_casual_winter.png,,,2026-06-14T19:19:07.341Z,1067
bangdream_005_casual,005_casual,005,市谷有咲,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/005_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,61416,0.268427,0,74,439,436,440,363,52,34,344,430,0.779664,1.27907,0.844186,52,43,0,0,good,1,1048576,15c22c9ce2e072ef0725d145164d380b3955e8229cf2c86bae77264e7b749025,.cache/deskpet-audit/render-screenshots/bangdream_005_casual.png,,,2026-06-14T19:19:08.408Z,1033
bangdream_005_casual_summer,005_casual_summer,005,市谷有咲,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/005_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,59533,0.260197,0,75,439,436,440,362,52,34,344,430,0.779658,1.27907,0.84186,52,43,0,0,good,1,1048576,219d06f89da06e0e88436156f9ba46abfead89c43c2f1f494080fa712a5a7cb5,.cache/deskpet-audit/render-screenshots/bangdream_005_casual_summer.png,,,2026-06-14T19:19:09.441Z,1083
bangdream_005_casual_winter,005_casual_winter,005,市谷有咲,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/005_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,62666,0.27389,0,75,439,436,440,362,52,34,344,430,0.779658,1.27907,0.84186,52,43,0,0,good,1,1048576,d3b7cca3ac9d812cd11223136f185d497628a14ca85e26b58d0d4cf2a4255b51,.cache/deskpet-audit/render-screenshots/bangdream_005_casual_winter.png,,,2026-06-14T19:19:10.524Z,1084
bangdream_006_casual,006_casual,006,美竹兰,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/006_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,58018,0.253575,0,62,439,436,440,375,52,34,344,430,0.779733,1.27907,0.872093,52,43,0,0,good,1,1048576,7e2d4f69222382e06d6c8ad912c42c7d92b879dae7b61c6d28b62db7aacb4428,.cache/deskpet-audit/render-screenshots/bangdream_006_casual.png,,,2026-06-14T19:19:11.608Z,998
bangdream_006_casual_summer,006_casual_summer,006,美竹兰,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/006_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,54942,0.240131,0,63,439,436,440,374,52,34,344,430,0.779728,1.27907,0.869767,52,43,0,0,good,1,1048576,27e8147cb6f9803f6a9af8a2665b8cf3e889b0d713f69ee77c74dbb095acb2e9,.cache/deskpet-audit/render-screenshots/bangdream_006_casual_summer.png,,,2026-06-14T19:19:12.606Z,1035
bangdream_006_casual_winter,006_casual_winter,006,美竹兰,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/006_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,58946,0.257631,0,62,439,436,440,375,52,34,344,430,0.779733,1.27907,0.872093,52,43,0,0,good,1,1048576,d0d90c47528fb4df96f871906e3bb0e411874e7c51e2eda5bc87457b12ad8a87,.cache/deskpet-audit/render-screenshots/bangdream_006_casual_winter.png,,,2026-06-14T19:19:13.641Z,1025
bangdream_007_casual,007_casual,007,青叶摩卡,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/007_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,57968,0.253357,0,61,439,436,440,376,52,34,344,430,0.779739,1.27907,0.874419,52,43,0,0,good,1,1048576,da1a0a4c180d225535e3af20bc93735b48bc493c3b43397a206de985173c5e44,.cache/deskpet-audit/render-screenshots/bangdream_007_casual.png,,,2026-06-14T19:19:14.666Z,1008
bangdream_007_casual_summer,007_casual_summer,007,青叶摩卡,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/007_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,56807,0.248282,0,61,439,436,440,376,52,34,344,430,0.779739,1.27907,0.874419,52,43,0,0,good,1,1048576,217b0a62e303886c1e9e286a995911d8275975f64657617e42f6b29b60268755,.cache/deskpet-audit/render-screenshots/bangdream_007_casual_summer.png,,,2026-06-14T19:19:15.673Z,1000
