resource_key,resource_key_strategy,model_key,local_code,upstream_code,variant,costume_key,family,character_name_zh,character_name_ja,band,row_kind,is_current_pool,is_covered_candidate,is_union_reference,gist_selection_proxy_bucket,gist_selection_proxy_score,gist_content_safety_hint,bestdori_available_servers,bestdori_preferred_server,tagger_visual_evidence_status,tagger_visual_evidence_count,tagger_visual_evidence_primary_url,tagger_visual_evidence_primary_sha256,download_status,conversion_status,validate_status,render_status,render_complete_person_decision,render_complete_person_reason,render_nonblank_ratio,render_bounds_width,render_bounds_height,render_bounds_inside_ratio,render_image_sha256_primary,render_image_sha256_desktop,render_image_sha256_mobile,tagger_model_id,tagger_model_revision,rating_signal_source,rating_score_general,rating_score_sensitive,rating_score_questionable,rating_score_explicit,rating_predicted_label,rating_confidence,rating_margin,llm_review_status,llm_review_reason,needs_llm_review,llm_review_label,needs_human_review,human_review_label,final_content_rating,content_policy_decision,eligible_for_default_pool,eligible_for_sensitive_easter_egg_pool,exclusion_reason,evidence_refs
bangdream_001_casual-2023,local_code_variant,001_casual-2023,001,001,casual-2023,001_casual-2023,casual,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,93,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_general_rip/texture_00.png,0fa82ba20cd12cacc015bad7f21ee392b0a03df49782808404b0d444d7f71ce1,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.16588373482227325,0.8916085362434387,0.00028933293651789427,9.514815610600635e-05,sensitive,0.8916085362434387,0.7257248014211655,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-17""]"
bangdream_001_casual_summer-2023,local_code_variant,001_casual_summer-2023,001,001,casual_summer-2023,001_casual_summer-2023,casual,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,93,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_general_rip/texture_00.png,0fa82ba20cd12cacc015bad7f21ee392b0a03df49782808404b0d444d7f71ce1,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.16588373482227325,0.8916085362434387,0.00028933293651789427,9.514815610600635e-05,sensitive,0.8916085362434387,0.7257248014211655,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-14""]"
bangdream_001_casual_winter-2023,local_code_variant,001_casual_winter-2023,001,001,casual_winter-2023,001_casual_winter-2023,casual,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,93,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_general_rip/texture_00.png,0fa82ba20cd12cacc015bad7f21ee392b0a03df49782808404b0d444d7f71ce1,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.16588373482227325,0.8916085362434387,0.00028933293651789427,9.514815610600635e-05,sensitive,0.8916085362434387,0.7257248014211655,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-16""]"
bangdream_001_chapter0_live,local_code_variant,001_chapter0_live,001,001,chapter0_live,001_chapter0_live,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,44,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_chapter0_live_rip/texture_00.png,0ac291a3a88a5afd218d2c676613b4e536fef0d5317d1ada547323db5dd545c2,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.003988629672676325,0.9952855706214905,0.001426836708560586,0.00015583400090690702,sensitive,0.9952855706214905,0.9912969409488142,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-18""]"
bangdream_001_chapter0_pajamas,local_code_variant,001_chapter0_pajamas,001,001,chapter0_pajamas,001_chapter0_pajamas,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,44,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_chapter0_pajamas_rip/texture_00.png,53b3805ed6f09d1829ca8f268b0be6adbff10a186b8bc041f0a5aa65e1532ebf,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.5745444893836975,0.4628901481628418,0.000969226355664432,0.00014187867054715753,general,0.5745444893836975,0.11165434122085571,completed,low_confidence_direct_rating threshold=0.27,False,unknown,True,,unknown,pending,False,False,LLM review inconclusive: label=unknown confidence=0.55,"[""raw-gist-candidate-19"", ""llm-review-bangdream_001_chapter0_pajamas""]"
bangdream_001_christmas_01,local_code_variant,001_christmas_01,001,001,christmas_01,001_christmas_01,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,44,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_christmas_01_rip/texture_00.png,8d18cee8c294fcef5a64c0b2daab231b36ebee4e37b803b707d7863755ce6120,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.02668820321559906,0.977318286895752,0.001291915774345398,0.000131286185933277,sensitive,0.977318286895752,0.9506300836801529,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-20""]"
bangdream_001_collabo_d_1_ur,local_code_variant,001_collabo_d_1_ur,001,001,collabo_d_1_ur,001_collabo_d_1_ur,collabo,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,C,69,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_collabo_d_1_ur_rip/texture_00.png,e8a76ea1a740a39a5218d32d9ca37803f62c7e372378d1f906c4d4cc8a360bd8,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.3438391089439392,0.6734474301338196,0.0007136609638109803,0.00024897244293242693,sensitive,0.6734474301338196,0.32960832118988037,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-21""]"
bangdream_001_collabo_r,local_code_variant,001_collabo_r,001,001,collabo_r,bili_001_collabo_r,collabo,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,46,manual_review_required,"[""cn""]",cn,ready,2,https://bestdori.com/assets/cn/live2d/chara/bili_001_collabo_r_rip/texture_00.png,ecf88141b63d131650fcc0d7b3c2a567fb9e72c83f181c9036878de169fd981c,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.010186831466853619,0.9910106658935547,0.00029853053274564445,8.944370347307995e-05,sensitive,0.9910106658935547,0.9808238344267011,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-3338""]"
bangdream_001_delta,local_code_variant,001_delta,001,001,delta,001_delta,other,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,D,44,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_delta_rip/texture_00.png,14edeeba6c9ca01fc03e6c10c9ec2c7679b76ea4d9a377cc03ce9543ecefa009,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.01361776702105999,0.9852815270423889,0.0014132363721728325,0.00015460730355698615,sensitive,0.9852815270423889,0.9716637600213289,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-22""]"
bangdream_001_dream_festival,local_code_variant,001_dream_festival,001,001,dream_festival,001_dream_festival,dream_festival,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,100,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_dream_festival_rip/texture_00.png,cf4f62fcc940bccac9d43f4527a4478fa28cac88c58aca2d27a4b0bcc2d48cf0,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.006469236686825752,0.9819388389587402,0.0011631890665739775,6.0550326452357695e-05,sensitive,0.9819388389587402,0.9754696022719145,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-23""]"
